RedFighter,BlueFighter,RedFighter_KD,BlueFighter_KD,RedFighter_STR,BlueFighter_STR,RedFighter_TD,BlueFighter_TD,RedFighter_SUB,BlueFighter_SUB,Event,Date,Location,WL,Winner,Victory_Result,Victory_Method,Round,Time,Weight_Class,Title,Fight_Bonus,Perf_Bonus,Sub_Bonus,KO_Bonus,Red_reach_cm,Red_stance,Red_dob,Red_ss_landed_per_minute,Red_ss_accuracy,Red_ss_absorbed_per_min,Red_ss_defence,Red_avg_td_per_15,Red_td_accuracy,Red_td_defence,Red_avg_sub_attempt_per_15,Blue_reach_cm,Blue_stance,Blue_dob,Blue_ss_landed_per_minute,Blue_ss_accuracy,Blue_ss_absorbed_per_min,Blue_ss_defence,Blue_avg_td_per_15,Blue_td_accuracy,Blue_td_defence,Blue_avg_sub_attempt_per_15
Tom Aspinall,Ciryl Gane,0,0,27,30,0,0,0,0,UFC 321: Aspinall vs. Gane,"October 25, 2025","Abu Dhabi, Abu Dhabi, United Arab Emirates",NCNC,Tom Aspinall,CNC,CNC,1,4:35,Heavyweight,1.0,0.0,0.0,0.0,0.0,198.12,Orthodox,1993-04-11,7.63,67.0,3.62,56.0,2.62,80.0,100.0,7.63,205.74,Orthodox,1990-04-12,5.29,61.0,2.33,60.0,0.68,25.0,47.0,5.29
Mackenzie Dern,Virna Jandiroba,0,0,118,106,2,9,0,0,UFC 321: Aspinall vs. Gane,"October 25, 2025","Abu Dhabi, Abu Dhabi, United Arab Emirates",WIN,Mackenzie Dern,U-DEC,U-DEC,5,5:00,Women's Strawweight,1.0,0.0,0.0,0.0,0.0,160.02,Orthodox,1993-03-24,3.47,41.0,3.93,51.0,0.93,18.0,37.0,3.47,162.56,Orthodox,1988-05-30,2.33,41.0,2.9,55.0,2.85,37.0,74.0,2.33
Mario Bautista,Umar Nurmagomedov,1,0,20,32,0,11,1,0,UFC 321: Aspinall vs. Gane,"October 25, 2025","Abu Dhabi, Abu Dhabi, United Arab Emirates",WIN,Umar Nurmagomedov,U-DEC,U-DEC,3,5:00,Bantamweight,0.0,0.0,0.0,0.0,0.0,175.26,Switch,1993-07-01,5.58,48.0,4.19,55.0,1.48,32.0,54.0,5.58,175.26,Orthodox,1996-01-03,4.08,57.0,2.04,60.0,4.3,47.0,79.0,4.08
Jailton Almeida,Alexander Volkov,0,0,9,24,7,0,0,0,UFC 321: Aspinall vs. Gane,"October 25, 2025","Abu Dhabi, Abu Dhabi, United Arab Emirates",WIN,Alexander Volkov,S-DEC,S-DEC,3,5:00,Heavyweight,0.0,0.0,0.0,0.0,0.0,200.66,Orthodox,1991-06-26,2.25,66.0,1.02,35.0,6.66,62.0,60.0,2.25,203.2,Orthodox,1988-10-24,4.78,57.0,2.86,53.0,0.57,66.0,68.0,4.78
Aleksandar Rakic,Azamat Murzakanov,0,1,9,3,0,0,0,0,UFC 321: Aspinall vs. Gane,"October 25, 2025","Abu Dhabi, Abu Dhabi, United Arab Emirates",WIN,Azamat Murzakanov,KO/TKOPunch,KO/TKOPunch,1,3:11,Light Heavyweight,0.0,0.0,0.0,0.0,0.0,198.12,Orthodox,1992-02-06,4.13,50.0,2.86,51.0,0.64,21.0,85.0,4.13,180.34,Southpaw,1989-04-12,4.7,57.0,2.86,60.0,0.55,15.0,87.0,4.7
Nasrat Haqparast,Quillan Salkilld,0,1,10,14,0,0,0,0,UFC 321: Aspinall vs. Gane,"October 25, 2025","Abu Dhabi, Abu Dhabi, United Arab Emirates",WIN,Quillan Salkilld,KO/TKOKick,KO/TKOKick,1,2:30,Lightweight,0.0,0.0,1.0,0.0,0.0,182.88,Southpaw,1995-08-22,6.36,45.0,6.0,63.0,0.34,20.0,86.0,6.36,190.5,Orthodox,1999-12-28,5.49,57.0,3.5,43.0,7.77,34.0,100.0,5.49
Ikram Aliskerov,JunYong Park,0,0,91,78,5,0,0,0,UFC 321: Aspinall vs. Gane,"October 25, 2025","Abu Dhabi, Abu Dhabi, United Arab Emirates",WIN,Ikram Aliskerov,U-DEC,U-DEC,3,5:00,Middleweight,0.0,0.0,0.0,0.0,0.0,193.04,Southpaw,1992-12-07,6.86,64.0,5.47,41.0,3.2,60.0,100.0,6.86,185.42,Orthodox,1991-02-27,4.64,51.0,3.82,51.0,1.69,42.0,54.0,4.64
Mateusz Rebecki,Ludovit Klein,0,0,72,82,3,0,0,0,UFC 321: Aspinall vs. Gane,"October 25, 2025","Abu Dhabi, Abu Dhabi, United Arab Emirates",WIN,Ludovit Klein,M-DEC,M-DEC,3,5:00,Lightweight,0.0,1.0,0.0,0.0,0.0,167.64,Southpaw,1992-10-03,5.21,46.0,4.69,53.0,3.38,52.0,50.0,5.21,182.88,Southpaw,1995-02-22,3.76,53.0,3.48,53.0,1.37,51.0,76.0,3.76
Louie Sutherland,Valter Walker,0,0,3,5,0,1,0,1,UFC 321: Aspinall vs. Gane,"October 25, 2025","Abu Dhabi, Abu Dhabi, United Arab Emirates",WIN,Valter Walker,SUBHeel,SUBHeel Hook,1,1:24,Heavyweight,0.0,0.0,1.0,0.0,0.0,193.04,Orthodox,1994-02-08,2.14,60.0,3.57,0.0,0.0,0.0,0.0,2.14,198.12,Orthodox,1997-12-14,2.0,52.0,2.85,42.0,5.74,69.0,0.0,2.0
Nathaniel Wood,Jose Delgado,1,1,99,134,2,0,0,0,UFC 321: Aspinall vs. Gane,"October 25, 2025","Abu Dhabi, Abu Dhabi, United Arab Emirates",WIN,Nathaniel Wood,U-DEC,U-DEC,3,5:00,Featherweight,0.0,0.0,0.0,0.0,0.0,175.26,Orthodox,1993-05-08,5.74,52.0,4.32,54.0,1.46,50.0,73.0,5.74,187.96,Switch,1998-04-21,8.22,54.0,5.44,47.0,1.81,42.0,60.0,8.22
Chris Barnett,Hamdy Abdelwahab,0,0,18,99,0,9,0,0,UFC 321: Aspinall vs. Gane,"October 25, 2025","Abu Dhabi, Abu Dhabi, United Arab Emirates",WIN,Hamdy Abdelwahab,U-DEC,U-DEC,3,5:00,Heavyweight,0.0,0.0,0.0,0.0,0.0,190.5,Orthodox,1986-06-14,3.36,47.0,6.55,36.0,0.0,0.0,35.0,3.36,182.88,Southpaw,1993-01-22,4.27,55.0,3.67,51.0,3.25,65.0,100.0,4.27
Mitch Raposo,Azat Maksum,0,0,30,19,0,7,0,0,UFC 321: Aspinall vs. Gane,"October 25, 2025","Abu Dhabi, Abu Dhabi, United Arab Emirates",WIN,Mitch Raposo,U-DEC,U-DEC,3,5:00,Flyweight,0.0,0.0,0.0,0.0,0.0,162.56,Switch,1998-10-16,1.73,36.0,2.65,61.0,2.54,37.0,61.0,1.73,177.8,Southpaw,1995-02-02,2.75,27.0,4.25,52.0,3.5,31.0,85.0,2.75
Mizuki,Jaqueline Amorim,1,0,62,26,2,2,0,1,UFC 321: Aspinall vs. Gane,"October 25, 2025","Abu Dhabi, Abu Dhabi, United Arab Emirates",WIN,Mizuki,U-DEC,U-DEC,3,5:00,Women's Strawweight,0.0,0.0,0.0,0.0,0.0,165.1,Orthodox,1994-08-19,4.45,52.0,4.65,49.0,0.75,33.0,80.0,4.45,172.72,Orthodox,1995-06-24,2.43,50.0,2.16,54.0,2.16,36.0,0.0,2.43
Brendan Allen,Reinier de Ridder,0,0,22,9,1,3,1,1,UFC Fight Night: De Ridder vs. Allen,"October 18, 2025","Vancouver, British Columbia, Canada",WIN,Brendan Allen,KO/TKO,KO/TKO,4,5:00,Middleweight,0.0,0.0,0.0,0.0,0.0,190.5,Orthodox,1995-12-28,3.59,53.0,3.62,47.0,1.56,42.0,56.0,3.59,198.12,Southpaw,1990-09-07,2.2,53.0,2.04,48.0,2.68,30.0,50.0,2.2
Mike Malott,Kevin Holland,0,0,49,52,1,1,1,0,UFC Fight Night: De Ridder vs. Allen,"October 18, 2025","Vancouver, British Columbia, Canada",WIN,Mike Malott,U-DEC,U-DEC,3,5:00,Welterweight,0.0,0.0,0.0,0.0,0.0,185.42,Orthodox,1991-11-07,3.93,48.0,3.06,56.0,1.88,50.0,14.0,3.93,205.74,Orthodox,1992-11-05,4.26,49.0,3.22,50.0,0.83,39.0,56.0,4.26
Marlon Vera,Aiemann Zahabi,1,0,56,81,0,0,0,0,UFC Fight Night: De Ridder vs. Allen,"October 18, 2025","Vancouver, British Columbia, Canada",WIN,Aiemann Zahabi,S-DEC,S-DEC,3,5:00,Bantamweight,0.0,0.0,0.0,0.0,0.0,177.8,Switch,1992-12-02,4.25,48.0,5.37,49.0,0.49,39.0,72.0,4.25,172.72,Orthodox,1987-11-19,4.54,47.0,4.08,69.0,0.12,14.0,83.0,4.54
Manon Fiorot,Jasmine Jasudavicius,0,0,16,2,0,0,0,0,UFC Fight Night: De Ridder vs. Allen,"October 18, 2025","Vancouver, British Columbia, Canada",WIN,Manon Fiorot,KO/TKOPunches,KO/TKOPunches,1,1:14,Women's Flyweight,0.0,0.0,0.0,0.0,0.0,165.1,Orthodox,1990-02-17,5.66,42.0,3.58,66.0,1.05,29.0,87.0,5.66,172.72,Orthodox,1989-03-01,3.7,45.0,3.71,51.0,2.59,44.0,75.0,3.7
Charles Jourdain,Davey Grant,1,0,25,9,0,0,1,0,UFC Fight Night: De Ridder vs. Allen,"October 18, 2025","Vancouver, British Columbia, Canada",WIN,Charles Jourdain,SUBGuillotine,SUBGuillotine Choke,1,3:05,Bantamweight,0.0,0.0,1.0,0.0,0.0,175.26,Switch,1995-11-27,5.48,49.0,4.25,56.0,0.33,21.0,47.0,5.48,175.26,Orthodox,1985-12-18,5.14,44.0,3.82,55.0,1.03,40.0,63.0,5.14
Kyle Nelson,Matt Frevola,1,0,63,43,2,2,0,0,UFC Fight Night: De Ridder vs. Allen,"October 18, 2025","Vancouver, British Columbia, Canada",WIN,Kyle Nelson,U-DEC,U-DEC,3,5:00,Lightweight,0.0,0.0,0.0,0.0,0.0,180.34,Switch,1991-04-20,3.6,45.0,4.48,53.0,1.18,23.0,66.0,3.6,180.34,Orthodox,1990-06-11,3.3,39.0,3.76,56.0,2.34,41.0,40.0,3.3
Drew Dober,Kyle Prepolec,0,0,83,51,0,0,0,0,UFC Fight Night: De Ridder vs. Allen,"October 18, 2025","Vancouver, British Columbia, Canada",WIN,Drew Dober,KO/TKOPunches,KO/TKOPunches,3,1:16,Lightweight,0.0,1.0,0.0,0.0,0.0,177.8,Southpaw,1988-10-19,4.52,41.0,4.34,52.0,0.63,16.0,58.0,4.52,177.8,Southpaw,1989-08-30,3.25,34.0,5.69,48.0,0.0,0.0,45.0,3.25
Cody Gibson,Aoriqileng,0,1,3,5,0,0,0,0,UFC Fight Night: De Ridder vs. Allen,"October 18, 2025","Vancouver, British Columbia, Canada",WIN,Aoriqileng,KO/TKOPunch,KO/TKOPunch,1,0:21,Bantamweight,0.0,0.0,1.0,0.0,0.0,180.34,Orthodox,1987-09-11,3.63,46.0,3.22,57.0,2.12,37.0,69.0,3.63,175.26,Orthodox,1993-06-25,4.69,49.0,5.47,48.0,1.2,46.0,58.0,4.69
Bruno Silva,HyunSung Park,1,0,46,31,5,1,1,0,UFC Fight Night: De Ridder vs. Allen,"October 18, 2025","Vancouver, British Columbia, Canada",WIN,Bruno Silva,SUBRear,SUBRear Naked Choke,3,2:15,Flyweight,0.0,0.0,0.0,0.0,0.0,187.96,Orthodox,1989-07-13,3.86,48.0,5.35,41.0,0.77,22.0,74.0,3.86,167.64,Orthodox,1995-11-04,3.38,41.0,3.14,55.0,1.5,31.0,47.0,3.38
Djorden Santos,Danny Barlow,0,0,99,93,0,0,0,0,UFC Fight Night: De Ridder vs. Allen,"October 18, 2025","Vancouver, British Columbia, Canada",WIN,Djorden Santos,U-DEC,U-DEC,3,5:00,Middleweight,0.0,0.0,0.0,0.0,0.0,190.5,Orthodox,1997-08-01,7.0,44.0,5.98,48.0,0.67,33.0,86.0,7.0,200.66,Southpaw,1995-08-02,5.81,51.0,4.65,52.0,0.0,0.0,100.0,5.81
Stephanie Luciano,Ravena Oliveira,0,0,60,24,3,0,1,0,UFC Fight Night: De Ridder vs. Allen,"October 18, 2025","Vancouver, British Columbia, Canada",WIN,Stephanie Luciano,SUBRear,SUBRear Naked Choke,3,2:50,Women's Strawweight,0.0,0.0,0.0,0.0,0.0,165.1,Orthodox,1999-12-16,5.2,42.0,3.04,64.0,1.3,71.0,80.0,5.2,165.1,Orthodox,1997-02-20,1.4,29.0,2.8,50.0,1.08,66.0,50.0,1.4
Yousri Belgaroui,Azamat Bekoev,0,0,102,24,1,4,0,0,UFC Fight Night: De Ridder vs. Allen,"October 18, 2025","Vancouver, British Columbia, Canada",WIN,Yousri Belgaroui,KO/TKOPunches,KO/TKOPunches,3,0:55,Middleweight,0.0,0.0,0.0,0.0,0.0,200.66,Orthodox,1992-06-02,5.82,66.0,2.52,61.0,0.39,100.0,68.0,5.82,182.88,Orthodox,1995-12-30,4.07,45.0,7.66,31.0,4.49,45.0,80.0,4.07
Tainara Lisboa,Melissa Croden,0,1,42,99,2,2,0,0,UFC Fight Night: De Ridder vs. Allen,"October 18, 2025","Vancouver, British Columbia, Canada",WIN,Melissa Croden,KO/TKOPunches,KO/TKOPunches,3,4:32,Women's Bantamweight,0.0,0.0,0.0,0.0,0.0,170.18,Orthodox,1991-03-02,2.01,44.0,2.88,45.0,1.67,31.0,53.0,2.01,,Orthodox,1991-04-12,6.81,56.0,2.89,54.0,2.06,66.0,75.0,6.81
Mateusz Gamrot,Charles Oliveira,0,0,18,11,1,1,0,1,UFC Fight Night: Oliveira vs. Gamrot,"October 11, 2025","Rio de Janeiro, Rio de Janeiro, Brazil",WIN,Charles Oliveira,SUBRear,SUBRear Naked Choke,2,2:48,Lightweight,0.0,0.0,1.0,0.0,0.0,177.8,Southpaw,1990-12-11,3.29,51.0,2.96,59.0,5.15,37.0,83.0,3.29,187.96,Orthodox,1989-10-17,3.35,54.0,3.24,49.0,2.22,40.0,54.0,3.35
Montel Jackson,Deiveson Figueiredo,0,0,30,23,1,2,0,0,UFC Fight Night: Oliveira vs. Gamrot,"October 11, 2025","Rio de Janeiro, Rio de Janeiro, Brazil",WIN,Deiveson Figueiredo,S-DEC,S-DEC,3,5:00,Bantamweight,0.0,0.0,0.0,0.0,0.0,190.5,Southpaw,1992-04-24,3.09,52.0,1.4,61.0,3.0,63.0,67.0,3.09,172.72,Orthodox,1987-12-18,2.75,54.0,3.54,49.0,1.71,35.0,57.0,2.75
Joel Alvarez,Vicente Luque,0,0,89,30,1,0,1,0,UFC Fight Night: Oliveira vs. Gamrot,"October 11, 2025","Rio de Janeiro, Rio de Janeiro, Brazil",WIN,Joel Alvarez,U-DEC,U-DEC,3,5:00,Welterweight,0.0,0.0,0.0,0.0,0.0,195.58,Orthodox,1993-03-02,4.78,55.0,3.07,54.0,0.19,33.0,47.0,4.78,190.5,Orthodox,1991-11-27,4.83,51.0,5.3,51.0,0.9,48.0,60.0,4.83
Jhonata Diniz,Mario Pinto,0,0,1,29,0,3,0,2,UFC Fight Night: Oliveira vs. Gamrot,"October 11, 2025","Rio de Janeiro, Rio de Janeiro, Brazil",WIN,Mario Pinto,KO/TKOPunches,KO/TKOPunches,2,4:10,Heavyweight,0.0,0.0,0.0,0.0,0.0,200.66,Orthodox,1991-06-23,3.89,56.0,3.62,56.0,0.0,0.0,70.0,3.89,200.66,Orthodox,1998-03-14,3.39,78.0,2.42,53.0,2.72,60.0,100.0,3.39
Kaan Ofli,Ricardo Ramos,0,0,1,1,1,0,1,3,UFC Fight Night: Oliveira vs. Gamrot,"October 11, 2025","Rio de Janeiro, Rio de Janeiro, Brazil",WIN,Kaan Ofli,SUBRear,SUBRear Naked Choke,1,3:02,Featherweight,0.0,0.0,0.0,0.0,0.0,167.64,Orthodox,1993-06-19,1.79,46.0,2.61,60.0,0.61,14.0,0.0,1.79,182.88,Orthodox,1995-08-01,2.91,36.0,3.97,54.0,2.51,57.0,67.0,2.91
Lucas Almeida,Michael Aswell Jr.,0,2,9,30,0,0,0,0,UFC Fight Night: Oliveira vs. Gamrot,"October 11, 2025","Rio de Janeiro, Rio de Janeiro, Brazil",WIN,Michael Aswell Jr.,KO/TKOPunches,KO/TKOPunches,1,1:42,Featherweight,0.0,0.0,0.0,0.0,0.0,180.34,Orthodox,1991-01-31,4.94,39.0,5.36,44.0,0.0,0.0,53.0,4.94,175.26,Orthodox,2000-09-27,9.56,45.0,7.79,54.0,0.0,0.0,57.0,9.56
Jafel Filho,Clayton Carpenter,0,0,5,7,1,0,1,0,UFC Fight Night: Oliveira vs. Gamrot,"October 11, 2025","Rio de Janeiro, Rio de Janeiro, Brazil",WIN,Jafel Filho,SUBKimura,SUBKimura,1,4:42,Flyweight,0.0,0.0,0.0,0.0,0.0,172.72,Orthodox,1993-05-05,1.85,41.0,1.62,50.0,2.52,45.0,66.0,1.85,167.64,Orthodox,1996-06-09,3.66,53.0,2.57,55.0,1.99,46.0,37.0,3.66
Thomas Petersen,Vitor Petrino,0,2,16,31,0,1,0,0,UFC Fight Night: Oliveira vs. Gamrot,"October 11, 2025","Rio de Janeiro, Rio de Janeiro, Brazil",WIN,Vitor Petrino,KO/TKOPunch,KO/TKOPunch,3,0:26,Heavyweight,0.0,0.0,1.0,0.0,0.0,187.96,Southpaw,1995-03-30,3.38,58.0,2.95,55.0,3.71,50.0,87.0,3.38,195.58,Orthodox,1997-08-28,2.75,46.0,2.48,47.0,3.04,51.0,79.0,2.75
Bia Mesquita,Irina Alekseeva,0,0,36,6,2,0,1,0,UFC Fight Night: Oliveira vs. Gamrot,"October 11, 2025","Rio de Janeiro, Rio de Janeiro, Brazil",WIN,Bia Mesquita,SUBRear,SUBRear Naked Choke,2,2:14,Women's Bantamweight,0.0,0.0,1.0,0.0,0.0,170.18,Orthodox,1991-04-07,4.98,57.0,0.83,73.0,4.15,66.0,0.0,4.98,170.18,Orthodox,1990-06-27,3.42,38.0,5.02,45.0,0.38,20.0,50.0,3.42
Lucas Rocha,Stewart Nicoll,0,0,115,45,3,2,0,0,UFC Fight Night: Oliveira vs. Gamrot,"October 11, 2025","Rio de Janeiro, Rio de Janeiro, Brazil",WIN,Lucas Rocha,U-DEC,U-DEC,3,5:00,Flyweight,0.0,0.0,0.0,0.0,0.0,162.56,Orthodox,2000-08-12,5.09,49.0,3.67,56.0,1.64,75.0,76.0,5.09,165.1,Orthodox,1996-04-11,3.0,34.0,6.69,48.0,2.55,14.0,25.0,3.0
Karolina Kowalkiewicz,Julia Polastri,0,0,72,137,1,0,0,0,UFC Fight Night: Oliveira vs. Gamrot,"October 11, 2025","Rio de Janeiro, Rio de Janeiro, Brazil",WIN,Julia Polastri,KO/TKOPunches,KO/TKOPunches,3,2:56,Women's Strawweight,0.0,0.0,1.0,0.0,0.0,162.56,Orthodox,1985-10-15,5.54,42.0,5.77,56.0,0.36,23.0,74.0,5.54,162.56,Orthodox,1998-03-05,6.4,54.0,5.4,57.0,0.73,80.0,60.0,6.4
Saimon Oliveira,Luan Lacerda,0,0,21,24,1,3,0,1,UFC Fight Night: Oliveira vs. Gamrot,"October 11, 2025","Rio de Janeiro, Rio de Janeiro, Brazil",WIN,Luan Lacerda,SUBArmbar,SUBArmbar,2,3:55,Bantamweight,0.0,0.0,0.0,0.0,0.0,182.88,Orthodox,1991-04-21,2.62,42.0,3.87,45.0,1.18,28.0,36.0,2.62,180.34,Orthodox,1993-01-07,4.02,46.0,5.79,46.0,2.29,41.0,66.0,4.02
Magomed Ankalaev,Alex Pereira,0,0,4,28,0,0,0,0,UFC 320: Ankalaev vs. Pereira 2,"October 04, 2025","Las Vegas, Nevada, USA",WIN,Alex Pereira,KO/TKOElbows,KO/TKOElbows,1,1:20,Light Heavyweight,1.0,0.0,1.0,0.0,0.0,190.5,Orthodox,1992-06-02,3.65,52.0,2.59,56.0,0.79,22.0,87.0,3.65,200.66,Orthodox,1987-07-07,5.16,62.0,3.5,53.0,0.11,50.0,79.0,5.16
Cory Sandhagen,Merab Dvalishvili,0,0,80,114,0,20,0,0,UFC 320: Ankalaev vs. Pereira 2,"October 04, 2025","Las Vegas, Nevada, USA",WIN,Merab Dvalishvili,U-DEC,U-DEC,5,5:00,Bantamweight,1.0,0.0,0.0,0.0,0.0,177.8,Switch,1992-04-20,4.86,45.0,3.47,56.0,1.15,34.0,56.0,4.86,172.72,Orthodox,1991-01-10,4.33,42.0,2.55,56.0,6.4,37.0,82.0,4.33
Jiri Prochazka,Khalil Rountree Jr.,1,0,71,66,0,0,0,0,UFC 320: Ankalaev vs. Pereira 2,"October 04, 2025","Las Vegas, Nevada, USA",WIN,Jiri Prochazka,KO/TKOPunches,KO/TKOPunches,3,3:04,Light Heavyweight,0.0,0.0,1.0,0.0,0.0,203.2,Orthodox,1992-10-14,5.69,55.0,5.6,45.0,0.51,60.0,68.0,5.69,193.04,Southpaw,1990-02-26,3.88,40.0,4.33,49.0,0.0,0.0,58.0,3.88
Youssef Zalal,Josh Emmett,0,0,0,0,1,0,1,0,UFC 320: Ankalaev vs. Pereira 2,"October 04, 2025","Las Vegas, Nevada, USA",WIN,Youssef Zalal,SUBArmbar,SUBArmbar,1,1:38,Featherweight,0.0,0.0,0.0,0.0,0.0,182.88,Switch,1996-09-04,3.03,50.0,1.78,66.0,2.17,31.0,59.0,3.03,177.8,Orthodox,1985-03-04,3.72,35.0,4.43,60.0,1.08,37.0,43.0,3.72
Joe Pyfer,Abus Magomedov,1,0,6,11,0,1,2,1,UFC 320: Ankalaev vs. Pereira 2,"October 04, 2025","Las Vegas, Nevada, USA",WIN,Joe Pyfer,SUBRear,SUBRear Naked Choke,2,1:46,Middleweight,0.0,0.0,1.0,0.0,0.0,190.5,Orthodox,1996-09-17,3.47,43.0,3.05,53.0,1.23,33.0,50.0,3.47,198.12,Orthodox,1990-09-02,3.07,49.0,3.43,55.0,2.61,59.0,100.0,3.07
Tre'ston Vines,Ateba Gautier,0,1,0,6,0,1,0,0,UFC 320: Ankalaev vs. Pereira 2,"October 04, 2025","Las Vegas, Nevada, USA",WIN,Ateba Gautier,KO/TKOPunches,KO/TKOPunches,1,1:41,Middleweight,0.0,0.0,0.0,0.0,0.0,200.66,Orthodox,1996-06-18,0.0,0.0,3.56,50.0,0.0,0.0,0.0,0.0,205.74,Switch,2002-04-10,6.57,60.0,1.95,53.0,0.98,100.0,92.0,6.57
Daniel Santos,JooSang Yoo,1,0,27,31,1,0,0,0,UFC 320: Ankalaev vs. Pereira 2,"October 04, 2025","Las Vegas, Nevada, USA",WIN,Daniel Santos,KO/TKOPunch,KO/TKOPunch,2,0:21,Catch Weight,0.0,0.0,0.0,0.0,0.0,170.18,Orthodox,1995-03-12,4.76,40.0,5.03,51.0,3.01,40.0,73.0,4.76,180.34,Orthodox,1994-01-21,6.36,58.0,4.99,56.0,0.0,0.0,50.0,6.36
Patchy Mix,Jakub Wiklacz,0,0,37,46,5,0,0,3,UFC 320: Ankalaev vs. Pereira 2,"October 04, 2025","Las Vegas, Nevada, USA",WIN,Jakub Wiklacz,S-DEC,S-DEC,3,5:00,Bantamweight,0.0,0.0,0.0,0.0,0.0,177.8,Southpaw,1993-08-16,5.3,43.0,7.3,43.0,2.5,62.0,0.0,5.3,182.88,Orthodox,1996-09-10,3.07,55.0,2.47,36.0,0.0,0.0,28.0,3.07
Andre Muniz,Edmen Shahbazyan,0,1,15,25,1,0,0,0,UFC 320: Ankalaev vs. Pereira 2,"October 04, 2025","Las Vegas, Nevada, USA",WIN,Edmen Shahbazyan,KO/TKOElbows,KO/TKOElbows,1,4:58,Middleweight,0.0,0.0,0.0,0.0,0.0,198.12,Southpaw,1990-02-17,2.08,48.0,2.46,51.0,3.98,48.0,35.0,2.08,190.5,Orthodox,1997-11-20,3.8,48.0,3.6,49.0,1.62,37.0,66.0,3.8
Punahele Soriano,Nikolay Veretennikov,0,0,39,9,4,0,1,2,UFC 320: Ankalaev vs. Pereira 2,"October 04, 2025","Las Vegas, Nevada, USA",WIN,Punahele Soriano,U-DEC,U-DEC,3,5:00,Welterweight,0.0,0.0,0.0,0.0,0.0,182.88,Southpaw,1992-11-22,4.66,54.0,3.42,47.0,1.83,48.0,40.0,4.66,187.96,Orthodox,1989-12-22,2.49,56.0,3.25,44.0,0.43,16.0,62.0,2.49
Yana Santos,Macy Chiasson,0,0,65,54,0,2,0,1,UFC 320: Ankalaev vs. Pereira 2,"October 04, 2025","Las Vegas, Nevada, USA",WIN,Yana Santos,U-DEC,U-DEC,3,5:00,Women's Bantamweight,0.0,0.0,0.0,0.0,0.0,172.72,Orthodox,1989-11-11,4.41,57.0,3.12,52.0,0.78,47.0,51.0,4.41,182.88,Orthodox,1991-07-27,3.5,46.0,2.86,45.0,2.07,37.0,72.0,3.5
Farid Basharat,Chris Gutierrez,0,0,41,31,2,1,0,0,UFC 320: Ankalaev vs. Pereira 2,"October 04, 2025","Las Vegas, Nevada, USA",WIN,Farid Basharat,U-DEC,U-DEC,3,5:00,Bantamweight,0.0,0.0,0.0,0.0,0.0,180.34,Orthodox,1997-08-02,4.05,52.0,2.47,60.0,3.6,47.0,72.0,4.05,170.18,Orthodox,1991-04-22,4.4,57.0,2.65,63.0,0.3,30.0,67.0,4.4
Ramiz Brahimaj,Austin Vanderford,0,0,21,5,0,3,2,0,UFC 320: Ankalaev vs. Pereira 2,"October 04, 2025","Las Vegas, Nevada, USA",WIN,Ramiz Brahimaj,SUBGuillotine,SUBGuillotine Choke,2,2:24,Welterweight,0.0,0.0,0.0,0.0,0.0,182.88,Orthodox,1992-11-17,2.23,46.0,3.42,44.0,1.74,38.0,48.0,2.23,187.96,Orthodox,1990-03-21,3.04,59.0,2.71,48.0,3.08,35.0,100.0,3.04
Brogan Walker,Veronica Hardy,0,1,22,39,3,0,0,1,UFC 320: Ankalaev vs. Pereira 2,"October 04, 2025","Las Vegas, Nevada, USA",WIN,Veronica Hardy,U-DEC,U-DEC,3,5:00,Women's Flyweight,0.0,0.0,0.0,0.0,0.0,170.18,Switch,1988-08-02,1.84,32.0,3.32,47.0,1.02,75.0,11.0,1.84,162.56,Southpaw,1995-10-30,3.06,45.0,3.24,50.0,0.82,41.0,51.0,3.06
Dominick Reyes,Carlos Ulberg,0,1,5,11,0,0,0,0,UFC Fight Night: Ulberg vs. Reyes,"September 27, 2025","Perth, Western Australia, Australia",WIN,Carlos Ulberg,KO/TKOPunches,KO/TKOPunches,1,4:27,Light Heavyweight,0.0,0.0,1.0,0.0,0.0,195.58,Southpaw,1989-12-26,5.39,54.0,3.49,49.0,0.29,28.0,82.0,5.39,195.58,Orthodox,1990-11-07,6.54,55.0,4.04,51.0,0.55,60.0,85.0,6.54
Ivan Erslan,Jimmy Crute,0,0,10,12,0,2,0,1,UFC Fight Night: Ulberg vs. Reyes,"September 27, 2025","Perth, Western Australia, Australia",WIN,Jimmy Crute,SUBRear,SUBRear Naked Choke,1,3:19,Light Heavyweight,0.0,0.0,1.0,0.0,0.0,182.88,Orthodox,1991-11-15,2.55,46.0,5.01,53.0,0.45,20.0,61.0,2.55,187.96,Orthodox,1996-03-04,4.15,52.0,3.65,42.0,4.39,52.0,58.0,4.15
Ramon Taveras,Jack Jenkins,0,0,43,65,0,3,0,1,UFC Fight Night: Ulberg vs. Reyes,"September 27, 2025","Perth, Western Australia, Australia",WIN,Jack Jenkins,U-DEC,U-DEC,3,5:00,Featherweight,0.0,0.0,0.0,0.0,0.0,177.8,Southpaw,1994-01-09,4.07,43.0,6.45,54.0,0.0,0.0,72.0,4.07,172.72,Switch,1993-11-03,4.48,61.0,2.95,59.0,1.98,60.0,71.0,4.48
